name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,main_position
David Silva,David Josué Jiménez Silva,1/8/1986,33,172.72,67.1,"CAM,CM",Spain,90,90,60000000.0,285000.0,Left,4,2,4,Normal,111000000.0,Not Selected,0.0,Not Selected,0.0,84,76,54,93,82,89,82,77,86,94,70,64,92,90,90,72,64,76,52,75,57,50,89,92,75,93,59,53,29,CAM
D. Godín,Diego Godín,2/16/1986,33,187.96,78.0,CB,Uruguay,90,90,44000000.0,125000.0,Right,3,3,2,Lean,90200000.0,Uruguay,81.0,RCB,3.0,55,42,92,79,47,53,49,51,70,76,64,62,58,85,54,67,91,66,88,43,89,88,48,52,50,82,90,89,89,CB
G. Chiellini,Giorgio Chiellini,8/14/1984,34,187.96,84.8,CB,Italy,90,90,31000000.0,225000.0,Left,4,3,2,Normal,51200000.0,Italy,83.0,LCB,3.0,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,94,93,90,CB
J. Oblak,Jan Oblak,1/7/1993,26,187.96,87.1,GK,Slovenia,90,93,68000000.0,94000.0,Right,3,3,1,Normal,144500000.0,Slovenia,75.0,SUB,1.0,13,11,15,29,13,12,13,14,26,16,43,60,67,86,49,22,76,41,78,12,34,19,11,65,11,70,27,12,18,GK
H. Kane,Harry Kane,7/28/1993,25,187.96,88.9,ST,England,90,92,96500000.0,210000.0,Right,3,4,3,Normal,185800000.0,England,82.0,ST,9.0,75,94,86,82,85,80,78,68,83,84,68,72,71,91,73,88,79,89,84,86,78,35,93,81,90,91,56,36,38,ST
T. Kroos,Toni Kroos,1/4/1990,29,182.88,76.2,CM,Germany,90,90,76500000.0,355000.0,Right,4,5,3,Normal,156800000.0,Germany,85.0,LCM,8.0,88,76,58,92,82,81,86,84,93,90,64,62,70,89,71,87,30,75,73,89,60,76,78,90,73,88,72,74,66,CM
N. Kanté,N'Golo Kanté,3/29/1991,27,167.64,72.1,"CDM,CM",France,89,90,63000000.0,225000.0,Right,3,3,2,Normal,121300000.0,France,84.0,LDM,13.0,68,65,54,86,56,79,49,49,81,80,82,78,82,93,92,71,77,97,76,69,90,92,71,80,54,85,90,91,85,CDM
E. Cavani,Edinson Roberto Cavani Gómez,2/14/1987,32,185.42,77.1,ST,Uruguay,89,89,60000000.0,200000.0,Right,4,4,3,Lean,111000000.0,Uruguay,81.0,LS,21.0,70,89,89,78,90,80,77,76,52,82,75,76,77,91,59,87,88,92,78,79,84,48,93,77,85,82,52,45,39,ST
Sergio Busquets,Sergio Busquets i Burgos,7/16/1988,30,187.96,76.2,"CDM,CM",Spain,89,89,51500000.0,315000.0,Right,4,3,3,Lean,105600000.0,Spain,85.0,CDM,5.0,62,67,68,89,44,80,66,68,82,88,50,52,66,87,52,61,66,86,77,54,85,87,77,87,60,93,90,86,80,CDM
M. Neuer,Manuel Neuer,3/27/1986,32,193.04,92.1,GK,Germany,89,89,38000000.0,130000.0,Right,5,4,1,Normal,62700000.0,Germany,85.0,GK,1.0,15,13,25,55,11,30,14,11,59,46,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11,GK
T. Courtois,Thibaut Courtois,5/11/1992,26,198.12,96.2,GK,Belgium,89,90,53500000.0,240000.0,Left,4,2,1,Courtois,113700000.0,Belgium,85.0,GK,1.0,14,14,13,33,12,13,19,20,35,23,46,52,61,84,45,36,68,38,70,17,23,15,13,44,27,66,20,18,16,GK
P. Dybala,Paulo Bruno Exequiel Dybala,11/15/1993,25,152.4,74.8,"CAM,RW",Argentina,89,94,89000000.0,205000.0,Left,3,3,4,Normal,153500000.0,Argentina,82.0,LF,21.0,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,CAM
M. Salah,Mohamed  Salah Ghaly,6/15/1992,26,175.26,71.2,"RW,ST",Egypt,89,90,78500000.0,265000.0,Left,3,3,4,PLAYER_BODY_TYPE_25,151100000.0,Egypt,73.0,RM,10.0,78,90,59,83,76,89,83,60,74,88,94,91,91,92,88,80,68,84,70,83,63,55,92,84,75,91,38,43,41,RW
A. Griezmann,Antoine Griezmann,3/21/1991,27,175.26,73.0,"CF,ST",France,89,90,78000000.0,145000.0,Left,4,3,4,Lean,165800000.0,France,84.0,CAM,7.0,82,89,84,84,87,87,86,84,78,90,88,85,90,90,82,82,90,86,62,82,73,49,91,85,83,89,59,54,48,CF
S. Agüero,Sergio Leonel Agüero del Castillo,6/2/1988,30,172.72,69.9,ST,Argentina,89,89,64500000.0,300000.0,Right,4,4,4,Stocky,119300000.0,Argentina,82.0,SUB,11.0,70,93,77,81,85,89,82,73,64,89,88,80,86,90,91,88,81,76,73,83,65,24,92,83,83,90,30,20,12,ST
M. ter Stegen,Marc-André ter Stegen,4/30/1992,26,187.96,84.8,GK,Germany,89,92,58000000.0,240000.0,Right,3,4,1,Normal,123300000.0,Germany,85.0,SUB,22.0,18,14,11,42,14,17,18,12,47,18,38,50,37,86,43,22,79,35,78,10,43,22,11,70,25,70,25,13,10,GK
K. Koulibaly,Kalidou Koulibaly,6/20/1991,27,187.96,88.9,CB,Senegal,88,91,60000000.0,135000.0,Right,3,3,2,Normal,106500000.0,Not Selected,0.0,Not Selected,0.0,30,22,83,68,14,69,28,28,60,63,70,75,50,82,40,55,81,75,94,15,87,88,24,49,33,80,91,88,87,CB
G. Buffon,Gianluigi Buffon,1/28/1978,41,193.04,92.1,GK,Italy,88,88,4000000.0,77000.0,Right,4,2,1,Normal,7400000.0,Not Selected,0.0,Not Selected,0.0,13,15,13,37,17,26,20,13,35,28,44,38,55,82,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,GK
L. Insigne,Lorenzo Insigne,6/4/1991,27,162.56,59.0,"LW,ST",Italy,88,88,62000000.0,165000.0,Right,3,4,4,Normal,105400000.0,Italy,83.0,LW,10.0,86,77,56,85,74,90,87,77,78,93,94,86,94,83,93,75,53,75,44,84,34,26,83,87,61,83,51,24,22,LW
K. Mbappé,Kylian Mbappé,12/20/1998,20,152.4,73.0,"RW,ST,RM",France,88,95,81000000.0,100000.0,Right,3,4,5,Lean,166100000.0,France,84.0,RM,10.0,77,88,77,82,78,90,77,63,73,91,96,96,92,87,83,79,75,83,71,78,62,38,88,82,70,86,34,34,32,RW
M. Hummels,Mats  Hummels,12/16/1988,30,190.5,92.1,CB,Germany,88,88,46000000.0,160000.0,Right,4,3,3,Normal,75900000.0,Germany,85.0,LCB,5.0,64,55,87,81,60,68,65,53,85,81,53,62,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,CB
C. Eriksen,Christian  Dannemann Eriksen,2/14/1992,27,154.94,76.2,"CAM,RM,CM",Denmark,88,89,69500000.0,205000.0,Right,3,5,4,Lean,133800000.0,Denmark,78.0,CAM,10.0,88,81,52,91,80,84,86,87,89,91,76,73,80,88,81,84,50,92,58,89,46,56,84,91,67,88,59,57,22,CAM
H. Lloris,Hugo Lloris,12/26/1986,32,187.96,82.1,GK,France,88,88,36000000.0,150000.0,Left,4,1,1,Lean,66600000.0,France,84.0,GK,1.0,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,GK
G. Bale,Gareth Frank Bale,7/16/1989,29,185.42,82.1,"RW,LW,ST",Wales,88,88,60000000.0,355000.0,Left,4,3,4,Lean,123000000.0,Wales,75.0,ST,11.0,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,RW
Thiago Silva,Thiago Emiliano da Silva,9/22/1984,34,182.88,82.1,CB,Brazil,88,88,24000000.0,165000.0,Right,4,3,2,Normal,44400000.0,Not Selected,0.0,Not Selected,0.0,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,86,88,89,85,CB
Coutinho,Philippe Coutinho Correia,6/12/1992,26,172.72,68.0,"LW,RW,CM",Brazil,88,89,69500000.0,340000.0,Right,3,4,5,Normal,147700000.0,Not Selected,0.0,Not Selected,0.0,79,79,48,87,75,91,91,86,83,92,88,75,92,83,93,83,59,79,61,93,59,49,84,88,70,85,55,54,47,LW
S. Handanovič,Samir Handanovič,7/14/1984,34,193.04,92.1,GK,Slovenia,88,88,30000000.0,110000.0,Right,3,2,1,Normal,51000000.0,Not Selected,0.0,Not Selected,0.0,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,GK
Piqué,Gerard Piqué Bernabéu,2/2/1987,32,193.04,84.8,CB,Spain,88,88,40000000.0,285000.0,Right,4,3,2,Normal,82000000.0,Not Selected,0.0,Not Selected,0.0,57,65,83,82,57,63,58,43,80,82,54,63,58,86,36,62,74,65,85,51,76,88,64,70,69,89,91,87,85,CB
P. Aubameyang,Pierre-Emerick Aubameyang,6/18/1989,29,187.96,79.8,"ST,LM",Gabon,88,88,59000000.0,265000.0,Right,3,4,4,Lean,112100000.0,Not Selected,0.0,Not Selected,0.0,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,ST
M. Reus,Marco Reus,5/31/1989,29,154.94,71.2,"CAM,LM,ST",Germany,88,88,58000000.0,130000.0,Right,4,4,4,Lean,98600000.0,Germany,85.0,SUB,11.0,82,87,49,86,90,87,89,84,79,87,86,84,86,88,82,88,70,76,67,86,51,48,88,86,89,85,49,36,45,CAM
V. van Dijk,Virgil van Dijk,7/8/1991,27,193.04,92.1,CB,Netherlands,88,90,59500000.0,215000.0,Right,3,3,2,Normal,114500000.0,Netherlands,81.0,LCB,4.0,53,52,83,79,45,70,60,70,81,76,74,77,61,87,49,81,88,75,92,64,82,88,41,60,62,87,90,89,84,CB
P. Pogba,Paul Pogba,3/15/1993,25,190.5,83.9,"CM,CAM",France,88,91,73000000.0,255000.0,Right,4,4,5,Normal,144200000.0,France,84.0,RDM,6.0,80,75,75,86,85,87,85,82,90,90,71,79,76,82,66,90,83,88,87,82,78,64,82,88,82,87,63,67,67,CM
Marcelo,Marcelo Vieira da Silva Júnior,5/12/1988,30,175.26,79.8,LB,Brazil,87,87,36500000.0,240000.0,Left,4,4,5,Normal,74800000.0,Not Selected,0.0,Not Selected,0.0,90,73,75,84,61,90,85,67,78,92,83,82,86,87,86,83,76,89,78,70,84,83,85,82,59,86,71,82,83,LB
D. Mertens,Dries Mertens,5/6/1987,31,170.18,60.8,"CF,ST",Belgium,87,87,45000000.0,135000.0,Right,3,4,4,Normal,76500000.0,Belgium,85.0,RF,14.0,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,CF
M. Icardi,Mauro Emanuel Icardi Rivero,2/19/1993,26,154.94,74.8,ST,Argentina,87,90,64500000.0,130000.0,Right,3,4,3,Normal,114500000.0,Argentina,82.0,ST,9.0,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,69,76,70,56,22,92,64,82,85,45,24,20,ST
Casemiro,Carlos Henrique Venancio Casimiro,2/23/1992,27,185.42,83.9,CDM,Brazil,87,89,50500000.0,240000.0,Right,3,3,2,Normal,107300000.0,Not Selected,0.0,Not Selected,0.0,58,64,76,83,61,69,63,74,82,78,61,66,62,86,66,86,88,87,89,81,89,86,69,77,66,84,84,87,86,CDM
J. Vertonghen,Jan Vertonghen,4/24/1987,31,187.96,86.2,CB,Belgium,87,87,34000000.0,155000.0,Left,3,3,3,Normal,62900000.0,Belgium,85.0,LCB,5.0,72,56,80,79,52,71,63,73,74,77,61,65,61,85,60,80,85,75,79,66,84,89,60,68,66,83,89,87,88,CB
I. Rakitić,Ivan Rakitić,3/10/1988,30,182.88,78.0,"CM,CDM",Croatia,87,87,46500000.0,260000.0,Right,4,4,3,Lean,95300000.0,Not Selected,0.0,Not Selected,0.0,84,79,59,87,84,82,88,82,90,85,66,62,73,80,66,84,39,83,71,87,67,81,80,86,82,86,76,75,73,CM
Alisson,Alisson Ramses Becker,10/2/1992,26,190.5,91.2,GK,Brazil,87,91,46000000.0,135000.0,Right,3,3,1,Normal,88600000.0,Not Selected,0.0,Not Selected,0.0,17,13,19,45,20,27,19,18,44,30,54,45,40,86,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,GK
T. Alderweireld,Toby Alderweireld,3/2/1989,30,185.42,81.2,CB,Belgium,87,88,44000000.0,165000.0,Right,3,3,2,Normal,84700000.0,Belgium,85.0,RCB,2.0,64,45,82,79,38,62,63,69,85,75,61,67,60,88,50,78,84,76,79,65,81,87,58,67,58,84,90,91,86,CB
Thiago,Thiago Alcântara do Nascimento,4/11/1991,27,175.26,69.9,"CM,CAM,CDM",Spain,87,87,51500000.0,140000.0,Right,3,3,5,Normal,85000000.0,Spain,85.0,SUB,19.0,72,69,54,90,90,90,85,77,87,90,78,69,90,86,86,76,75,75,59,79,56,78,79,86,75,85,67,67,71,CM
Jordi Alba,Jordi Alba Ramos,3/21/1989,29,170.18,68.0,LB,Spain,87,87,38000000.0,250000.0,Left,3,3,3,Normal,77900000.0,Spain,85.0,LB,18.0,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,77,84,80,76,59,82,74,84,84,LB
K. Navas,Keylor Navas,12/15/1986,32,185.42,79.8,GK,Costa Rica,87,87,30500000.0,195000.0,Right,3,3,1,Normal,62500000.0,Not Selected,0.0,Not Selected,0.0,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,GK
Isco,Francisco Román Alarcón Suárez,4/21/1992,26,175.26,78.9,"CAM,CM,LW",Spain,87,90,62500000.0,260000.0,Right,3,3,4,Normal,132800000.0,Spain,85.0,LW,22.0,75,79,55,86,65,94,88,76,81,95,75,69,87,77,90,69,64,70,59,85,58,64,78,86,76,86,60,64,51,CAM
J. Rodríguez,James David Rodríguez Rubio,7/12/1991,27,154.94,74.8,"CAM,CM,RM",Colombia,87,88,59000000.0,260000.0,Left,4,3,4,Normal,1200000.0,Colombia,79.0,LAM,10.0,90,83,62,89,90,85,89,86,83,90,73,67,83,85,76,86,54,70,68,92,64,55,80,88,81,87,52,41,44,CAM
C. Immobile,Ciro Immobile,2/20/1990,29,185.42,84.8,ST,Italy,87,87,52000000.0,115000.0,Right,3,4,3,Normal,88400000.0,Italy,83.0,ST,17.0,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,ST
Fernandinho,Fernando Luiz Rosa,5/4/1985,33,152.4,67.1,CDM,Brazil,87,87,20500000.0,200000.0,Right,3,4,3,Lean,37900000.0,Not Selected,0.0,Not Selected,0.0,68,69,66,85,74,77,70,72,83,82,68,67,72,89,78,83,78,84,76,78,87,89,70,75,61,79,87,86,80,CDM
S. Umtiti,Samuel Umtiti,11/14/1993,25,182.88,74.8,CB,France,87,92,57000000.0,205000.0,Left,3,3,2,Normal,121100000.0,Not Selected,0.0,Not Selected,0.0,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,CB
R. Sterling,Raheem Sterling,12/8/1994,24,170.18,68.9,"RW,LW",England,87,89,62000000.0,210000.0,Right,3,3,4,Lean,119400000.0,England,82.0,RW,10.0,78,79,38,84,67,88,72,63,69,87,95,92,94,87,93,76,57,78,52,75,38,30,89,79,69,79,47,58,54,RW
G. Higuaín,Gonzalo Gerardo Higuaín,12/10/1987,31,185.42,88.9,ST,Argentina,87,87,48500000.0,205000.0,Right,4,4,3,Normal,1200000.0,Not Selected,0.0,Not Selected,0.0,68,91,79,74,88,83,74,62,59,84,70,72,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,ST
Azpilicueta,César Azpilicueta Tanco,8/28/1989,29,152.4,76.2,"RB,CB",Spain,86,86,35000000.0,175000.0,Right,3,3,2,Normal,64800000.0,Spain,85.0,SUB,14.0,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,RB
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,10/2/1991,27,154.94,76.2,"CF,ST,CAM",Brazil,86,87,53000000.0,195000.0,Right,3,4,4,Normal,102000000.0,Not Selected,0.0,Not Selected,0.0,72,86,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,CF
M. Škriniar,Milan Škriniar,2/11/1995,24,187.96,79.8,CB,Slovakia,86,93,53500000.0,89000.0,Right,1,4,2,Normal,101700000.0,Not Selected,0.0,Not Selected,0.0,40,42,82,73,40,59,34,30,69,67,70,73,48,83,51,50,78,77,85,30,86,86,30,57,56,81,92,89,84,CB
W. Szczęsny,Wojciech  Szczęsny,4/18/1990,28,195.58,89.8,GK,Poland,86,88,37000000.0,135000.0,Right,3,3,1,Lean,63800000.0,Poland,77.0,GK,1.0,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,GK
R. Lukaku,Romelu Lukaku,5/13/1993,25,190.5,93.9,ST,Belgium,86,88,55000000.0,215000.0,Left,3,3,3,Stocky,108600000.0,Belgium,85.0,ST,9.0,72,86,85,76,77,78,74,66,73,71,75,90,60,86,46,88,71,81,94,74,71,27,87,73,78,83,30,30,30,ST
Alex Sandro,Alex Sandro Lobo Silva,1/26/1991,28,154.94,79.8,"LB,LM",Brazil,86,86,36500000.0,160000.0,Left,3,3,3,Normal,60200000.0,Not Selected,0.0,Not Selected,0.0,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,LB
T. Müller,Thomas Müller,9/13/1989,29,185.42,74.8,"CAM,RM,RW,CF",Germany,86,86,45000000.0,135000.0,Right,4,4,3,Lean,74300000.0,Germany,85.0,SUB,13.0,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,CAM
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,8/10/1994,24,172.72,64.0,"CAM,CM,RW,RM",Portugal,86,91,59500000.0,180000.0,Left,2,3,4,Lean,114500000.0,Portugal,82.0,RW,11.0,85,75,51,85,69,92,83,67,79,91,86,77,90,82,88,70,50,86,50,72,62,49,83,86,68,86,49,52,40,CAM
S. Mané,Sadio Mané,4/10/1992,26,175.26,68.9,"LW,RW,LM",Senegal,86,87,52000000.0,195000.0,Right,3,4,4,Lean,100100000.0,Not Selected,0.0,Not Selected,0.0,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,LW
J. Kimmich,Joshua Kimmich,2/8/1995,24,175.26,69.9,"RB,CM,CDM",Germany,86,88,45000000.0,100000.0,Right,3,4,3,Lean,77600000.0,Germany,85.0,RCM,18.0,91,66,74,87,67,80,81,61,83,85,78,68,84,86,83,75,79,94,64,69,79,80,80,79,44,82,75,81,79,RB
Ederson,Ederson Santana de Moraes,8/17/1993,25,187.96,86.2,GK,Brazil,86,90,41500000.0,125000.0,Left,2,3,1,Normal,79900000.0,Not Selected,0.0,Not Selected,0.0,20,14,14,56,18,23,15,20,58,37,64,63,60,87,48,42,66,41,68,18,38,27,20,70,17,70,29,15,8,GK
L. Sané,Leroy Sané,1/11/1996,23,182.88,74.8,LW,Germany,86,92,61000000.0,195000.0,Left,2,3,4,Lean,125100000.0,Germany,85.0,LW,19.0,83,81,72,79,85,88,83,82,64,85,93,96,88,81,81,87,64,79,70,78,61,34,84,82,71,80,36,32,35,LW
M. Pjanić,Miralem Pjanić,4/2/1990,28,152.4,72.1,"CM,CDM",Bosnia Herzegovina,86,86,44000000.0,180000.0,Right,3,4,3,Normal,72600000.0,Not Selected,0.0,Not Selected,0.0,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,CM
L. Bonucci,Leonardo Bonucci,5/1/1987,31,190.5,84.8,CB,Italy,86,86,30000000.0,160000.0,Right,3,3,2,Lean,49500000.0,Italy,83.0,RCB,19.0,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,CB
K. Benzema,Karim Benzema,12/19/1987,31,185.42,81.2,ST,France,86,86,43000000.0,265000.0,Right,4,4,4,Normal,88200000.0,Not Selected,0.0,Not Selected,0.0,75,82,80,83,82,85,81,73,70,89,78,76,77,85,68,81,73,79,80,76,65,28,86,85,82,85,47,24,18,ST
M. Verratti,Marco Verratti,11/5/1992,26,165.1,59.9,"CM,CDM",Italy,86,89,55000000.0,135000.0,Right,3,4,4,Normal,105900000.0,Italy,83.0,LCM,6.0,72,60,55,90,64,90,73,64,89,88,69,62,90,85,94,56,64,77,52,58,89,84,71,87,64,95,78,83,80,CM
R. Varane,Raphaël Varane,4/25/1993,25,190.5,81.2,CB,France,86,91,50000000.0,210000.0,Right,3,3,2,Lean,106300000.0,France,84.0,RCB,4.0,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,84,87,88,87,CB
A. Lacazette,Alexandre Lacazette,5/28/1991,27,175.26,73.0,ST,France,85,86,45000000.0,180000.0,Right,3,4,4,Normal,88900000.0,Not Selected,0.0,Not Selected,0.0,64,88,73,80,81,85,74,71,59,85,81,84,85,85,85,85,76,79,73,75,70,42,86,76,84,85,29,42,30,ST
K. Manolas,Kostas Manolas,6/14/1991,27,187.96,83.0,CB,Greece,85,86,36500000.0,96000.0,Right,3,2,2,Normal,64800000.0,Greece,75.0,LCB,4.0,27,10,80,60,16,54,30,10,61,65,82,85,68,82,59,40,86,76,82,12,86,86,25,22,26,82,87,87,89,CB
Douglas Costa,Douglas Costa de Souza,9/14/1990,28,172.72,69.9,"LM,RW,LW",Brazil,85,85,40500000.0,160000.0,Left,3,3,5,Normal,66800000.0,Not Selected,0.0,Not Selected,0.0,84,67,50,84,76,92,84,78,68,91,97,93,93,83,91,86,61,78,63,80,55,48,73,82,77,84,45,38,34,LM
Y. Brahimi,Yacine Brahimi,2/8/1990,29,175.26,66.2,LM,Algeria,85,85,39000000.0,28000.0,Right,3,3,4,Normal,78000000.0,Not Selected,0.0,Not Selected,0.0,79,76,46,79,73,93,84,78,72,86,87,75,92,84,90,69,72,85,49,76,46,38,83,79,75,90,51,36,25,LM
Paulinho,José Paulo Bezzera Maciel Júnior,7/25/1988,30,182.88,71.2,"CM,CAM,CDM,RM",Brazil,85,85,37000000.0,39000.0,Right,3,3,3,Lean,81400000.0,Not Selected,0.0,Not Selected,0.0,64,81,85,84,75,82,66,72,80,84,73,73,71,84,71,83,90,92,81,80,81,81,84,80,71,81,75,81,75,CM
Parejo,Daniel Parejo Muñoz,4/16/1989,29,182.88,73.9,CM,Spain,85,85,37000000.0,66000.0,Right,2,4,3,Lean,77700000.0,Not Selected,0.0,Not Selected,0.0,84,79,61,91,72,78,89,90,88,84,54,46,66,78,72,78,51,78,72,82,58,81,81,86,83,83,69,68,63,CM
A. Laporte,Aymeric  Laporte,5/27/1994,24,187.96,84.8,"CB,LB",France,85,88,41000000.0,150000.0,Left,2,3,2,Normal,78900000.0,Not Selected,0.0,Not Selected,0.0,58,45,85,77,40,59,61,69,78,73,62,66,45,86,55,68,76,67,83,47,76,86,54,59,44,80,87,88,88,CB
